id,繁體字,部首,筆畫,普通話拼音,粵拼,學習階段,字例,相關詞語數目,相關詞語
0001,一,一,1,yī,jat1〔日1〕,第一學習階段,,87,一一、一下、一下子、一口、一口氣、一切、一心、一手、一方面、一日千里、一片、一代、一半、一旦、一本正經、一生、一目了然、一共、一再、一同、一向、一如、一早、一行、一系列、一身、一事無成、一些、一來、一味、一定、一直、一度、一律、一流、一致、一面、一席之地、一旁、一時、一氣呵成、一般、一起、一陣子、一帶、一貫、一連、一連串、一部分、一部份、一勞永逸、一無所知、一番、一絲不苟、一視同仁、一塊（兒）、一會（兒）、一路、一道、一鳴驚人、一齊、一樣、一模一樣、一輩子、一應俱全、一點（兒）、一點點、一邊、一體、瞬間、一瞬間、不一、不一定、不一會、同一、耳目一新、首屈一指、唯一、惟一、統一、逐一、單一、進一步、煥然一新、萬一、獨一無二、難得一見
0002,丁,一,2,dīng,ding1〔叮〕,第一學習階段,,1,園丁
0003,七,一,2,qī,cat1〔漆〕,第一學習階段,,2,七巧板、七彩
0004,三,一,3,sɑ̄n,saam1〔衫〕,第一學習階段,,9,三文治、三明治、三文魚、三甲、三角形、三軍、再三、接二連三、朝三暮四
0005,下,一,3,xiɑ̀,haa6〔夏〕；haa5〔哈5〕,第一學習階段,①打一下 ②山下 ③下雨 ④坐下,41,下午、下午茶、下巴、下手、下水、下令、下去、下列、下旬、下來、下降、下海、下班、下崗、下游、下跌、下落、下層、下課、一下、一下子、上下、天下、手下、地下、低下、每下愈況、每況愈下、底下、南下、留下、陛下、高下、眼下、部下、剩下、鄉下、對症下藥、閣下、餘下、屬下
0006,上,一,3,shɑ̀ng,soeng6〔尚〕；soeng5〔相5〕,第一學習階段,①上山 ②上月 ③跑上山 ④臉上,53,上下、上山、上午、上升、上月、上去、上古、上司、上台、上市、上列、上旬、上色、上衣、上址、上來、上空、上門、上前、上帝、上映、上述、上海、上班、上級、上陣、上游、上等、上訴、上進、上當、上演、上漲、上網、上層、上課、上學、上頭、上繳、天上、世上、加上、地上、成千上萬、早上、事實上、馬上、專上院校、晚上、雪上加霜、無上、路上、錦上添花
0007,丈,一,3,zhɑ̀ng,zoeng6〔象〕,第一學習階段,①她的丈夫 ②丈夫氣概,3,丈夫、姑丈、姨丈
0008,丑,一,4,chǒu,cau2〔醜〕,第一學習階段,,1,小丑
0009,丐,一,4,gɑ̀i,koi3〔概〕,第一學習階段,,1,乞丐
0010,不,一,4,bù,bat1〔筆〕,第一學習階段,①不錯，他的確很聰明 ②這盆栽長得不錯,125,不一、不一定、不一會、不了了之、不久、不已、不及、不少、不止、不乏、不以為然、不可、不可或缺、不可思議、不只、不外、不外乎、不平、不必、不用、不由得、不亦樂乎、不再、不在乎、不好意思、不如、不安、不成、不至於、不行、不住、不但、不免、不利、不妨、不忍、不良、不見、不見得、不足、不宜、不幸、不法、不知不覺、不知所措、不便、不約而同、不要、不要緊、不計其數、不容、不料、不時、不停、不得、不得了、不得已、不得不、不惜、不許、不勝枚舉、不單、不單止、不堪、不堪設想、不敢當、不景、不景氣、不然、不僅、不當、不禁、不過、不對、不滿、不盡、不管、不論、不適、不懈、不擇手段、不獨、不遺餘力、不錯、不斷、不覺、不顧、一絲不苟、了不起、力不從心、少不了、水泄不通、可不是、用不着、目不暇給、好容易、好不容易、忍不住、供不應求、來不及、刻不容緩、受不了、忿忿不平、怪不得、青黃不接、恨不得、看不起、美不勝收、美中不足、要不、要不然、迫不及待、急不及待、差不多、捨不得、毫不、無微不至、微不足道、源源不絕、滔滔不絕、禁不住、對不起、與眾不同、層出不窮、説不定
0012,丙,一,5,bǐng,bing2〔炳〕,第一學習階段,,0,
0013,世,一,5,shì,sai3〔細〕,第一學習階段,,14,世上、世代、世界、世紀、世間、二世祖、出世、去世、在世、身世、後世、問世、盛世、逝世
0014,且,一,5,qiě,ce2〔扯〕,第一學習階段,,3,而且、並且、況且
0015,丘,一,5,qiū,jau1〔休〕,第二學習階段,,2,丘陵、沙丘
0017,丟,一,6,diū,diu1〔凋〕,第一學習階段,,2,丟失、丟掉
0018,並,一,8,bìng,bing6〔兵6〕,第一學習階段,,3,並且、並非、相提並論
0019,丫,丨,3,yɑ̄,aa1〔鴉〕,第二學習階段,,1,丫頭
0020,中,丨,4,zhōng；zhòng,zung1〔宗〕；zung3〔眾〕,第一學習階段,①中心 ②中毒,36,中午、中心、中文、中央、中年、中旬、中和、中毒、中國、中途、中游、中等、中華、中間、中葉、中樞、中樂、中學、中斷、中醫、中藥、心中、正中、其中、空中、初中、美中不足、高中、從中、途中、無形中、無動於中、無動於衷、集中、當中、適中
0021,串,丨,7,chuɑ̀n,cyun3〔寸〕,第一學習階段,,2,串謀、一連串
0022,丸,丶,3,wɑ́n,jyun4〔元〕,第一學習階段,,1,丸子
0023,凡,丶,3,fɑ́n,faan4〔煩〕,第二學習階段,,2,凡是、平凡
0024,丹,丶,4,dɑ̄n,daan1〔單〕,第二學習階段,,1,牡丹
0025,主,丶,5,zhǔ,zyu2〔煮〕,第一學習階段,,33,主人、主人翁、主力、主任、主旨、主角、主持、主要、主席、主動、主張、主意、主演、主管、主導、主機、主辦、主禮、主題、主權、主觀、公主、天主教、失主、民主、自主、車主、東主、為主、班主任、得主、僱主、户主
0026,乃,丿,2,nɑ̌i,naai5〔奶〕,第二學習階段,,0,
0027,久,丿,3,jiǔ,gau2〔狗〕,第一學習階段,,7,不久、永久、多久、長久、持久、悠久、許久
0028,之,丿,4,zhī,zi1〔支〕,第一學習階段,,13,之內、之外、之際、一席之地、人滿之患、不了了之、反之、取而代之、後顧之憂、換言之、極之、當務之急、總之
0031,乏,丿,5,fɑ́,fat6〔伐〕,第二學習階段,,3,不乏、疲乏、缺乏
0032,乎,丿,5,hū,fu4〔扶〕,第一學習階段,,8,不外乎、不亦樂乎、不在乎、介乎、合乎、似乎、幾乎、視乎
0033,乒,丿,6,pīng,ping1〔娉〕；bing1〔兵〕,第一學習階段,,1,乒乓
